DDX11L1
WASH7P
OR4G4P
OR4G11P
SEPTIN14P18
CICP27
RNU6-1100P
GTF2IP10
DDX11L17
RPL23AP21
RPL23AP24
WBP1LP7
SEPTIN14P13
CICP7
MTND1P23
MTND2P28
MTCO1P12
MTCO2P12
MTATP8P1
MTATP6P1
MTCO3P12
WBP1LP6
SEPTIN14P14
CICP3
RNU6-1199P
TUBB8P11
RPL39P12
PUSL1
NDUFB4P8
RN7SL657P
LOC100288379
MMP23A
SLC35E2A
LOC100129381
LOC100129534
LOC100420339
RN7SL574P
EEF1DP6
RNU6-731P
RPL37P9
RNU1-8P
TRUND-NNN4-1
RPL7AP18
LOC100129776
RNU1-7P
RNU6-991P
RPL7P11
RPL7P7
RPL27P3
RPL23AP19
RNU6-304P
HMGN2P17
RN7SL451P
RNA5SP40
RPL9P11
RPL26P7
MZT1P1
RN7SKP269
TMEM274P
RPL21P21
PGAM1P11
RNU6-828P
RNU6-37P
RN7SL731P
RN7SL614P
HSPE1P24
CFL1P6
RNU6-537P
RNU6-291P
RPL39P6
UBE2V2P3
MTCYBP45
LOC101060126
SBF1P2
RNU5E-4P
RN7SL649P
RNU6-777P
RPL23AP89
RPL10P17
LOC124900427
LOC124904680
RNU6ATAC18P
PRAMEF30P
RNU6-1072P
PRAMEF29P
PRAMEF28P
PRAMEF34P
PRAMEF35P
PRAMEF36P
PRAMEF31P
PRAMEF32P
RNU6-771P
BRWD1P1
RNA5SP41
RNU6-1265P
TBCAP2
MFFP1
ZBTB2P1
CHCHD2P6
LOC124904764
RNU7-179P
CD24P1
RPL12P14
RPS16P1
FAM131C2P
ANO7L1
MT1XP1
RPL22P3
CROCCP3
RNU1-6P
TRV-CAC11-1
PDE4DIPP8
LOC101056699
CROCCP2
MST1P2
EIF1AXP1
ESPNP
TRV-CAC13-1
CROCCP4
MST1L
PDE4DIPP9
TRV-CAC11-2
LOC124903860
RNU1-5P
LOC107985101
DYNLL1P3
AKR7L
RNU6-1099P
RN7SL277P
RNU4-28P
RPS14P3
RN7SL304P
LOC100419911
RPS4XP4
RNU7-200P
RPS15AP6
HSPE1P27
PPP1R11P1
PDE4DIPP10
NBPF2P
HS6ST1P1
CROCCP5
PFN1P10
LOC124904736
RPL21P29
RN7SL386P
